,Country,Years,Occupation,Compensation,Employment Status,Industry,Prgm Hours,Job Satisfaction
0.52700605,Ukraine,2 - 5 years,Back-end web developer,"$20,000 - $40,000",Employed full-time,Consulting,1-2 hours per week,I'm somewhat satisfied with my job
0.693598785,United Kingdom,11+ years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Software Products,5-10 hours per week,I love my job
0.827898094,Greece,6 - 10 years,Back-end web developer,"Less than $20,000",Employed full-time,Internet,1-2 hours per week,I'm somewhat satisfied with my job
0.238714555,Canada,6 - 10 years,Full-stack web developer,"$120,000 - $140,000",Employed full-time,Media / Advertising,1-2 hours per week,I love my job
0.211485289,Australia,11+ years,Business intelligence or data warehousing expert,"$60,000 - $80,000",Employed full-time,Healthcare,1-2 hours per week,I'm somewhat satisfied with my job
0.601117395,Israel,2 - 5 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Telecommunications,1-2 hours per week,I love my job
0.30791647,Switzerland,6 - 10 years,Embedded application developer,Rather not say,Employed full-time,Software Products,1-2 hours per week,I'm somewhat satisfied with my job
0.109786846,United States,11+ years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Finance / Banking,20+ hours per week,I'm somewhat satisfied with my job
0.904174635,United States,11+ years,Desktop developer,"$120,000 - $140,000",Employed full-time,Retail,20+ hours per week,I'm somewhat dissatisfied with my job
0.066579994,Netherlands,11+ years,Full-stack web developer,Rather not say,Employed full-time,Internet,2-5 hours per week,I love my job
0.366688975,Spain,11+ years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Consulting,5-10 hours per week,I'm neither satisfied nor dissatisfied with my job
0.593776479,Belgium,11+ years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Software Products,10-20 hours per week,I love my job
0.012515663,Romania,1 - 2 years,Mobile developer - Android,"Less than $20,000",Employed part-time,Software Products,5-10 hours per week,I'm somewhat dissatisfied with my job
0.388436658,Indonesia,1 - 2 years,Full-stack web developer,"Less than $20,000",Employed full-time,Consulting,1-2 hours per week,I'm somewhat dissatisfied with my job
0.817665993,Australia,2 - 5 years,Full-stack web developer,Rather not say,Employed full-time,Finance / Banking,10-20 hours per week,I love my job
0.006438455,United States,6 - 10 years,,"$120,000 - $140,000",Employed full-time,Software Products,20+ hours per week,I'm neither satisfied nor dissatisfied with my job
0.660463562,United States,2 - 5 years,Enterprise level services developer,"$40,000 - $60,000",Employed full-time,Consulting,2-5 hours per week,I'm somewhat dissatisfied with my job
0.267589558,United States,Less than 1 year,Front-end web developer,"$40,000 - $60,000",Employed full-time,Software Products,2-5 hours per week,I'm somewhat satisfied with my job
0.082860026,China,Less than 1 year,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Telecommunications,1-2 hours per week,I'm somewhat satisfied with my job
0.872424068,Australia,2 - 5 years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Software Products,1-2 hours per week,I'm somewhat satisfied with my job
0.902314423,India,2 - 5 years,Front-end web developer,Rather not say,Employed full-time,Retail,1-2 hours per week,I love my job
0.145870668,United States,6 - 10 years,Full-stack web developer,"$60,000 - $80,000",Employed full-time,Other (please specify),5-10 hours per week,I'm somewhat satisfied with my job
